Stress Score,Transcription Factors,Male Score,Female Score
Atf3,Lin28b,Ddx3y,Tsix
Btg2,Tbx2,Kdm5d,Xist
Cebpb,Dmtf1,Uty,
Cebpd,Irx4,Eif1ay,
Cldn4,Irf3,Zfy,
Csrnp1,Gm14391,Rps4y1,
Ctgf,Zfp507,,
Cyr61,Zfp981,,
Dnaja1,Irf2,,
Dnajb1,Zfx,,
Dusp1,Gm5141,,
Dusp2,Tef,,
Dusp5,Rhox3h,,
Egr1,Bnc2,,
Elf3,Meox1,,
Fos,Zfp775,,
Fosb,Foxj1,,
Gadd45b,Zfp619,,
Gadd45g,Sebox,,
Hsp90aa1,Gm17067,,
Hspa1a,Creb1,,
Hspa1b,Atoh7,,
Hspb1,Gm14124,,
Ier2,Nfatc1,,
Ier3,Tfap2b,,
Ifrd1,Zfp729a,,
Irf1,Hoxc11,,
Jun,Zfp871,,
Junb,Zfp277,,
Jund,Rhox3e,,
Klf2,Zbtb16,,
Klf4,Bbx,,
Klf6,Zfp59,,
Maff,Tfec,,
Nfkbia,Tfam,,
Nfkbiz,Zfp786,,
Nr4a1,Dmrtb1,,
Nr4a2,Zfp369,,
Phlda2,Jdp2,,
Pim1,Zbtb21,,
Plaur,Tox3,,
Plk3,Zbtb1,,
Ppp1r15a,Arx,,
Rasd1,Thap7,,
Rhob,Zfp26,,
Socs3,Gfi1b,,
Tnfaip3,Foxh1,,
Ubc,Pou4f2,,
Zfp36,Satb2,,
,Rhox2d,,
,Zfp827,,
,Gm9048,,
,Lhx1,,
,Klf13,,
,Zfp997,,
,Pou3f1,,
,Zfp874b,,
,Hoxa7,,
,Sall2,,
,Batf,,
,Nfatc4,,
,Trps1,,
,Klf9,,
,Rfx6,,
,Sall1,,
,Zbtb14,,
,Sp1,,
,Egr4,,
,Rfx1,,
,Hoxb3,,
,Nr1d1,,
,Ikzf5,,
,Zfp541,,
,Zfp366,,
,Sox12,,
,Tbx18,,
,Deaf1,,
,Rbak,,
,Setdb1,,
,Cux1,,
,B020011L13Rik,,
,Zbtb40,,
,Gm14444,,
,Lbx2,,
,Pbx1,,
,Mxd4,,
,Zeb1,,
,Fli1,,
,Neurog3,,
,Tead3,,
,Esx1,,
,Nkx3-2,,
,Zfp160,,
,Prox1,,
,AW146154,,
,Otx2,,
,Ferd3l,,
,Stat5a,,
,Zfp54,,
,Zfp84,,
,Stat2,,
,Msx2,,
,Pdx1,,
,Arid5a,,
,Mier2,,
,Tead4,,
,Six2,,
,Tfap2c,,
,Insm1,,
,Sox15,,
,Zfp949,,
,Dach1,,
,Mxi1,,
,Hsf3,,
,Id4,,
,Zfp174,,
,Zfp970,,
,Zfp617,,
,Smad5,,
,Rlf,,
,Nkx6-2,,
,Jazf1,,
,Gm2381,,
,Zic3,,
,Zfp119b,,
,Gsx1,,
,Rhox1,,
,Zbtb20,,
,Zfp989,,
,Neurod1,,
,Foxb2,,
,Foxn3,,
,Erfl,,
,Tbx15,,
,Hey2,,
,Pou5f2,,
,Sox9,,
,Zbtb45,,
,Gm4125,,
,Nr1h4,,
,Irf7,,
,Zfp457,,
,Tlx1,,
,Pias2,,
,Zfp791,,
,Zfp943,,
,Zfp873,,
,Zkscan1,,
,Zfp112,,
,Hes7,,
,Hivep1,,
,Zfp976,,
,Camta1,,
,Tfcp2l1,,
,Smad7,,
,Nfatc2,,
,Zfp74,,
,Nkx2-1,,
,Foxo6,,
,Hinfp,,
,Hmga2,,
,Zfp982,,
,Pou2f2,,
,Zfp282,,
,Hmga1b,,
,Creb3,,
,Thap3,,
,Rest,,
,Ikzf4,,
,Atf6,,
,Zfp9,,
,Zfp68,,
,Ar,,
,Zfp455,,
,Obox5,,
,Zkscan14,,
,Tbx22,,
,Zfp986,,
,Rxra,,
,Nfe2l3,,
,Ahrr,,
,Snai2,,
,Zfp148,,
,Rbpjl,,
,Emx2,,
,Zbtb25,,
,Dlx2,,
,Sim1,,
,Creb3l3,,
,Otp,,
,Pou2f3,,
,Runx1,,
,Gm11007,,
,4932411N23Rik,,
,Foxn2,,
,Zfp995,,
,Zfp977,,
,E2f7,,
,Mafb,,
,Patz1,,
,Hoxc9,,
,Zfp40,,
,Gm14443,,
,Csrnp3,,
,Npas2,,
,Hoxd13,,
,Zfp110,,
,Hmgb3,,
,Klf1,,
,Gtf2ird2,,
,Zfp954,,
,Mycl,,
,Dmrtc2,,
,Hmx2,,
,Barx2,,
,Zfat,,
,Sall4,,
,Zfp719,,
,Zbtb7b,,
